phrase,sentiment
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. ,neutral
Technopolis has approximately 130 customer companies in Jyvaskyla ,neutral
Peigs www.peigs.se will become part of Sardus Latta Maltider Light Meals unit ,neutral
Following the registration ,neutral
The company will release its 2010 results on 11 February 2011 ,neutral
The Filter Tips cover the volume range from 0.1-1200 -ï¿½l including new sizes for 10 ,neutral
The total investment in the Vantaa plant extension will amount to around 10 million euro ,neutral
- The Group -ï¿½ s profit before taxes was EUR 0,neutral
Vacon controls a further 5 % of the company via investment fund Power Fund I. EUR 1.0 = USD 1.39,neutral
Previously ,neutral
In total ,neutral
CS Cabot exports 55 % of its production mainly to Goodyear ,neutral
Mobile communication and wireless broadband provider Nokia Inc NYSE : NOK today set new financial targets and forecasts for Nokia and the mobile device industry and also for Nokia Siemens Networks and the mobile and fixed infrastructure and related services market ,neutral
CHS Expo Freight is a major Finnish fair ,neutral
They will be sunk to a depth of some 360-380 metres and fixed to the bottom mud by vacuum ,neutral
cents The profile contains business operations ,neutral
Okmetic Board of Directors has also decided on a new share ownership program directed to the company 's top management ,neutral
The works will include the laying of natural stone pavements and the installation of underground heating ,neutral
The major part of the deliveries include different AC and CXE amplifier solutions and products by Belgian DINH Telecom ,neutral
The selling consortium includes funds managed by OKO Bank 's venture capital unit ,neutral
The fixed acquisition price amounts to NOK 70 ( approximately EUR 8.7 ) million and additional price NOK 15 ( EUR 1.8 ) million at maximum ,neutral
The contract involves refurbishing the bathrooms of 189 units as well as re-plumbing their water and sewer pipes ,neutral
BAVARIA Industriekapital AG 's 2006 revenues were EUR 333 million ,neutral
The copying ,neutral
Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland ,neutral
`` We have a license agreement with Nokia Corp. which in part expires on April 9 ,neutral
LONDON AFX - UK and European brokers ' recommendations issued today ,neutral
Activities range from the development of natural resources to the retailed marketing of finished products ,neutral
The company ,neutral
Why not subscribe to the magazine ,neutral
Rautalinko was resposnible also for Mobility Services ,neutral
The proposal by the Board of Directors on the issuance of option rights will otherwise correspond to the proposal by the Board of Directors in the Notice to the General Meeting ,neutral
The EUR17m contract includes both design and construction works ,neutral
We offer our customers solutions based on renewable raw materials ,neutral
Neste Oil s refineries have a combined crude oil refining capacity of approximately 260,neutral
The product range includes marinated olives ,neutral
Net investment incom,neutral
The second variant offers complete final finishing of any selected apartment with foreign high quality materials ( Finland ,neutral
According to Finnair Technical Services ,neutral
`` This could be us ,neutral
Its market share is 6 percent according to AC Nielsen 's 2008 data ,neutral
The subscription period of Amer Sports ' 2002 warrant scheme will end on 31 December 2007 ,neutral
Includes company and brand share data by category ,neutral
The contract covers the manufacturing ,neutral
Koduextra is operating a retail chain of 11 stores ,neutral
Its annual capacity is some 10,neutral
The event can be followed on-line via Orion 's Finnish homepage at www.orion.fi as well as via the Kauppalehti Live web service at www.kauppalehti.fi/live ,neutral
Image data produced by the browser at the phone server is converted into a bitmapped image that is sent to the handset for display . ',neutral
Raute is listed on the Nordic exchange in Helsinki ,neutral
BasWare Invoice Processing ,neutral
With the U.S. Federal Government putting a stake in the ground ,neutral
Estonia 's Agriculture Minister Helir-Valdor Seeder is in Finland on a two-day visit ,neutral
Featuring the S60 user interface ,neutral
The order includes a log handling line ,neutral
Participants at any of the book discussions or other special events ,neutral
The business area has operations in Finland ,neutral
Catalysts segment includes refinery catalysts and polyolefin catalysts product categories ,neutral
The cost of the deal could range from 70 million to 90 million euros depending on the financial results of the two companies in 2008 ,neutral
The facility will have a lettable area of some 19,neutral
Mr. Koistinen joins from Nokia Siemens Networks where he has held various senior sales management and business development positions since 1997 ,neutral
An  of the invention ,neutral
The address location is provided to a local controller ,neutral
They both will report to Oriola-KD 's chief executive officer Eero Hautaniemi ,neutral
The port facilities ' throughput is 250,neutral
Increase in the number of shares is based on the option rights which were granted to the management of the company under the stock option plan 2006 ,neutral
Country : ,neutral
Aug. 17 ,neutral
`` We could be there ,neutral
In addition to verification of an identity and digital signatures ,neutral
The new organization consists of two business units : Charging & Messaging and Finance & Administration ,neutral
Our key geographical markets are Europe ,neutral
Teleste has some 30 offices worldwide and is listed on the Nordic Exchange in Helsinki ,neutral
Taking a cue from the playbook of the East Dillon Lions ,neutral
The business had gross written premiums of EUR152 .4 m (  91.5 m ) in 2000 ,neutral
Jon Risfelt has previously held operational executive positions in Europolitan ,neutral
The divested activities had net sales of EUR 145.1 million in 2009 and an operating profit of EUR 8.9 million ,neutral
The maximum number of new shares to be offered is 22 million ,neutral
The casing comprises a first side casing member provided with the first side vat segment and a second side casing member provided with the second side vat segment ,neutral
About 72 % of Evraz Group shares are owned by Lanebrook ,neutral
EQ Bank forecasts Olvi 's net sales at EUR 67mn in the second quarter of 2009 ,neutral
The identity of the buyer is not yet known ,neutral
Her present position is the director of Stockmann 's international department stores ,neutral
Companies evaluated in the report include Aladdin ,neutral
The company website is www.ahlstrom.com ,neutral
The sellers were the founders of the company ,neutral
`` The issues identified by Stonesoft affect a range of content inspection technology ,neutral
Exel wants to serve its industrial customers with individual products ,neutral
Stora is due to release its fourth-quarter and 2009 full-year earnings on Feb. 4 ,neutral
The Polish business employs about 1,neutral
The issue came up in connection with discussion with local municipalities concerning the sale of water to industrial facilities ,neutral
The aforementioned shareholders have informed that they will propose to the Annual General Meeting that the number of members of the Board of Directors shall be five and that besides the present members of the Board of Directors also Mr Lassi Noponen shall be elected to the Board of Directors ,neutral
According to latest information ,neutral
Financing of the project will come mainly from China ,neutral
The figure does not include food exports from Finland ,neutral
The latest date for registration is on 4 April ,neutral
`` Each year ,neutral
R&D Loan ) ,neutral
Finnlines has six ships under construction in China with deliveries scheduled between the first quarter of 2011 and the final quarter of 2012 ,neutral
Lieksaare Oy has earlier been regarded under the control of Saarelainen Oy and the individual shareholders under the shareholder agreement ,neutral
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 ,neutral
In volume ,neutral
A total of $ 78 million will be invested in the project ,neutral
The company also equipped the sculptural complex Rabochy i Kolkhoznitsa A Worker and a Collective Farmer in Moscow with snow melting system ,neutral
The deal includes all rental equipment and related merchandise ,neutral
The changes will take effect on 1 January 2010 ,neutral
Professional and consumer applications include personal navigation ,neutral
EUR 152.4 mn of this was net interest income ,neutral
The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation ,neutral
The contractor of the shopping center ,neutral
Finnish Raute Precision that supplies weighing and dosing systems and plants is changing its name to Lahti Precision ,neutral
HK Ruokatalo 's target is to know the consumers ,neutral
Finnish Talvivaara Mining Co HEL : TLV1V said Thursday it had picked BofA Merrill Lynch and JPMorgan NYSE : JPM as joint bookrunners of its planned issue of convertible notes worth up to EUR250m USD332m ,neutral
`` The industry is coming to an interesting fork in the road as both handset manufacturers and wireless carriers attempt to serve as the portal for Web-based service to your wireless handset ,neutral
Sanoma Learning & Literature ,neutral
After the split ,neutral
CapMan Plc Press Release 31 March 2008 Jukka Ruuska ,neutral
The agreement is valid for four years ,neutral
The value of the order is about EUR 30mn ,neutral
Upon completion of the sale Proha would get some USD12 .7 m for its stake in Artemis ,neutral
LEED is an internationally recognized green building certification system ,neutral
Teleste was set up in 1954 and is divided into Broadband Cable Networks and Video Networks business areas ,neutral
The investment would be some EUR5m ,neutral
The value of the contract is about EUR 27mn ,neutral
Financial ,neutral
Investments in product development stood at 6.0 mln euro ( $ 8.8 mln ) ,neutral
The first of the two project phases is expected to be completed by the end of 2012 ,neutral
The employee negotiations are to address measures needed to adjust the operations to the present production situation ,neutral
Based in Helsinki ,neutral
Poyry 's contract includes engineering management ,neutral
Luna took fifth place on six-under 207 ,neutral
The value of the multi-year agreement is over EUR 2mn a year ,neutral
The purchase price will be paid in cash upon the closure of the transaction ,neutral
The EBRD is using its own funds to provide a 21.6 million A loan while the B portion of 10 million Euros has been syndicated to two Finnish commercial banks ,neutral
UPM-Kymmene said its has ` not indicated any interest in any domestic consolidations ' ,neutral
The reductions will be concluded by autumn 2010 ,neutral
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program ,neutral
Other details were not provided ,neutral
The combined value of the orders is EUR 45mn ,neutral
Jun. 25 ,neutral
Bertrand Sciard has been the vice chairman of the board of directors of Aldata Solution since April 2007 ,neutral
As a part of the agreement 10 employees from the John Deere Forestry documentation functions will transfer to DokuMentori Oy ,neutral
Okmetic has used the furnaces for the contract manufacturing of solar crystals ,neutral
( The acquisition sum has not been disclosed . ,neutral
The invention carries International Patent Publication No. ,neutral
Tekla provides 3D software for building and infrastructure engineering ,neutral
The company specialises in temporary electrification and heating at construction sites ,neutral
It posted a turnover of 4.5 mln euro $ 6.1 mln and an operating profit of 1.5 mln euro $ 2.0 mln for 2006 ,neutral
Financial terms were n't disclosed ,neutral
The company was supposed to deliver machinery to a veneer mill in the Tomsk region ,neutral
The total size of the complex is around 25,neutral
The customers will have an access to integrated propeller and gear packages from one source ,neutral
One can also apply for jobs directly from the iPad ,neutral
When dialing in ,neutral
The negotiations concern personnel of Cencorp Corporation and Singulase Oy as whole in Finland and in Sweden ,neutral
Sunrise Resources operates in Russian near-shore development markets through its wholly-owned Russian subsidiary and has 80 % of its personnel in Russia ,neutral
After the transaction ,neutral
Currently ,neutral
Finland 's Technopolis is planning to bring the first section of a technopark on stream in St. Petersburg at the end of 2008 ,neutral
The measures taken will cause one-time costs during the final part of 2006 ,neutral
Choose from a Giant Countdown with red head or rainbow trout -- or the Giant Shad Rap in perch color ,neutral
Meanwhile ,neutral
Mr Jortikka is president of the base metal division of Outotec Oyj in Finland and is on the executive committee of Outotec ,neutral
The share capital of Basware Corporation is 11,neutral
An audio webcast will be available live and archived on Cerner 's Web site at www.cerner.com ,neutral
With five different game modes ,neutral
Finnish Stockmann Group 's mail order unit Hobby Hall has launched a trial marketing campaign in Russia ,neutral
On 25 August 2009 ,neutral
The group 's net sales in 2007 were EUR683 .6 m,neutral
Quality chargers under CHARGZ brand are sold in selected retail stores and other sales locations world-wide ,neutral
It will report full-year results on August 22 ,neutral
The value of the order is nearly EUR400m ,neutral
Helsinki 19 May 2010 - Finnish company Lemminkainen Oyj ( HEL : LEM1S ) said today that it will construct an office building at Toolonlahti in downtown Helsinki ,neutral
In 2008 ,neutral
According to Sweden 's Minister for Local Government and Financial Markets ,neutral
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS ,neutral
In Penttil+ï¿½ 's vision ,neutral
The other seats would go to Edgar Edmonds ,neutral
The combined company had pro-forma net sales of 140 mln euro $ 188.9 mln and an operating profit of 13 mln euro $ 17.5 mln for 2006 ,neutral
The machine will have an annual production capacity of 200,neutral
Ixonos will finance the acquisition through a 3.8 mln euro $ 5.2 mln loan ,neutral
Currently it operates a fleet of eight carriers ,neutral
Like all other mechanical pipettors from Biohit ,neutral
Before Kemira 's installation NordAlu was producing 3,neutral
Panostaja Oyj 's Board also decided at its organisational meeting held upon completion of the AGM to implement the AGM decision concerning Board member fees paid as shares in such a way that shares are transferred on a quarterly basis on the date following publication of the quarterly-annual report ,neutral
The net sales of the Power Plants business were EUR 710.3 million in 2005 ,neutral
A total of 1,neutral
- Cash flow from operating activities before investments was EUR 0.8 -1.2 million ,neutral
Of these shares 29,neutral
It is expected to be completed by the end of 2007 ,neutral
Under the rental agreement ,neutral
This corrensponds to 4.628 percent of Okmetic 's share capital and voting rights ,neutral
The Swedish subsidiary holds 1.0 % net smelter return `` NSR '' royalties over two advanced copper projects in northern Sweden - the Viscaria and Adak Projects - being developed by Avalon Minerals Ltd. ASX : AVI ,neutral
The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation ,neutral
Conference Call To participate via a conference call ,neutral
No service pricing details were disclosed ,neutral
Founded in 2000 ,neutral
The facility will be used to refinance Citycon 's existing credit facility ,neutral
1 p.m. Central office of Nordea Bank 19 3-ya ulitsa Yamskogo Polya ,neutral
For the new shares subscribed with stock options all shareholder rights commence from the date on which they are entered into the Trade Register ,neutral
Equipment will be manufactured in Vaahto 's workshop in Hollola ,neutral
CapMan has six investment areas CapMan Buyout ,neutral
Arena Partners Oy is a development company for electronic business ,neutral
Raisio is the site of the main production plants as well as company headquarters ,neutral
The building will house product development and test laboratories ,neutral
Apartments of YIT Home may be purchased in 5 regions of Russia ,neutral
`` Method and System for Controlling a Hard Disk Drive Using a Multimediacard Physical Interface '' was invented by Marko Ahvenainen Ruutana ,neutral
The share subscription period will expire on 30 September 2007 ,neutral
Some of the most recent technology deliveries include refinery technology to Anrak Aluminium ,neutral
She will succeed Krister Kylas ,neutral
Union and company officials did not return calls yesterday ,neutral
Basware Business Transactions Service enables the customer to receive and send invoices in an electronic format ,neutral
The company had net sales of EUR 10.8 million in 2008 ,neutral
The acquired plant has an annual capacity of some 300,neutral
The order values at EUR 6.9 mn ,neutral
The presentation material can be viewed on the company 's website in English after the conference ,neutral
The firm is headquartered in Vantaa ,neutral
In 2007 ,neutral
Coffee will be served starting at 14:30 EET as well as after the event ,neutral
Construction is scheduled to start in April-June 2007 and to be completed in early 2008 ,neutral
The continued operations mean the structure after the restructuring of the Aspocomp group including Aspocomp Oulu and the headquarter operations ,neutral
Elisa Corporation will disclose its financial statements for 2006 on Thursday ,neutral
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them ,neutral
Berling Capital ,neutral
The webcast may be followed online on the company website at www.ruukki.com/investors ,neutral
This corresponds to 6.81 percent of Okmetic 's share capital and voting rights ,neutral
He joined Rautakirja in 1997 to lead one of its four business areas and took up the position of President and CEO in 2001 ,neutral
The shares represented 4.998 % of total share capital and 2.14 % of total voting rights ,neutral
RFID ( Radio Frequency Identification ) is a method of so-called intelligent transport ,neutral
Goodwill and other intangible assets account for some 2.0 mln euro ( $ 2.6 mln ) of the purchase price ,neutral
The mall will be financed on a parity basis by Pearl Plaza LLC ,neutral
Finnish Sampo-Rosenlew manufactures approximately seven forest machines monthly ,neutral
Marimekko is considering further measures in the matter ,neutral
The fine print is here ,neutral
`` We are selling an information systems development business to the Finns ,neutral
The enterprise value of Maritim Food AS has been determined as approximately EUR15m ,neutral
The company says the measures are no longer needed ,neutral
Target company : Tieto Corporation ,neutral
The company expects meat purchases to remain at about 8mn kilos in 2011 ,neutral
The group intends to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars ,neutral
L+ï¿½nnen Tehtaat 's Food Division was reorganised into two strategic business units ,neutral
Sullivan said some of the boards `` really involve a lot of work ,neutral
4 ) Complete name of the shareholder : Otto Henrik Bernhard Nyberg 5 ) Further information : The amount of shares now transferred corresponds to 5.68 % of the total number of shares in Aspo Plc. ,neutral
The contract covers turnkey deliveries to all five airports operated by the authority -- John F Kennedy ,neutral
CapMan has four investment areas ( CapMan Buyout ,neutral
A few employees would remain at the Oulu plant in support functions for other group units ,neutral
These include software development for internet and mobile telephone content ,neutral
The share capital of Biotie Therapies Corp. constitutes 90,neutral
The subsidiary will be responsible for filter sales ,neutral
SCOPI Chief Business Excellence Officer ,neutral
CapMan ,neutral
A meeting for the media and analysts will be held on the same day at 10:30 a.m. at Stonesoft Headquarters in Helsinki ,neutral
The Samsung Mobile Applications Store was launched in January 2009 by Samsung Mobile Innovator ,neutral
Established in 1989 ,neutral
The Liquid Handling segment offers laboratory equipment and accessories ,neutral
The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,neutral
In this way ,neutral
Aker Yards Finland will begin using Chinese subcontractors at its Finnish shipyards ,neutral
The financial details of the acquisition were not disclosed ,neutral
Total value of the contract is about EUR 10mn ,neutral
Glaston 's own glass processing unit ,neutral
Helsinki on October 22 ,neutral
However ,neutral
According to business media reports ,neutral
Nordstjernan will make the offer in approximately one month ,neutral
The company 's board of directors would propose a dividend of EUR1 .00 per share for 2005 ,neutral
They can be used to control the speed of electric motors used by industry and municipal engineering ,neutral
The natural source of isoprene is the tree species Hevea brasiliensis ,neutral
The company 's model is based on developer contracting construction projects and customer focused project management ,neutral
The company is headquartered in Sievi ,neutral
Kesko has about 2,neutral
Bovine slaughtering and cutting at the Kuopio facility will be transferred to the Kauhajoki slaughterhouse ,neutral
The composite body is coated with a hard coating layer produced by thermal spraying ,neutral
The cranes would be installed onboard two freighters ordered by Singaporean ship owner Masterbulk ,neutral
Founded in 1985 ,neutral
At CapMan Haavisto will be responsible for Group Finances and Accounting and IT ,neutral
The inventors are Bylander Johan ,neutral
No financial details were revealed ,neutral
The company has a continuous need for alloys such as nickel ,neutral
The new SEPA cads will replace Finnish bank cards ,neutral
Honkarakenne mainly exports large luxury log houses to Russia to be used as one-family houses or holiday homes ; 70 % of sales go to the Moscow region ,neutral
The total number of voting rights is 74,neutral
The parties have agreed not to disclose the price of the deal ,neutral
The development of the technological park ,neutral
`` Our aim is to understand different traffic patterns based on the use of each building ,neutral
The Costanza light ,neutral
The Company operates through four principal divisions : Consumer Packaging ; Office Papers ; Speciality Papers ,neutral
So far as is known ,neutral
The project is expected to be completed in 2009 ,neutral
8,neutral
To check them out or to make a bid they will be in the Deka Showroom ,neutral
Tielinja generated net sales of 7.5 mln euro $ 9.6 mln in 2005 ,neutral
This amount will not be included in the pensionable salary ,neutral
Benefon will turn the Salo unit into a B2B business unit and establish a B2C business unit in the UK ,neutral
The solution will be installed in the USA to support the North American operations of the customer ,neutral
Published by Globes online ,neutral
The total value of the deliveries is some EUR65m ,neutral
The proposal of the shareholders to elect Mr. Hannu Krogerus to the Board is based on his long and unrivalled experience and knowledge of all matters related to Elcoteq ,neutral
New Delhi ,neutral
CS Cabot 's main consumers on the Czech and Slovak market are tires producers Barum Continental and Matador Continental ,neutral
The Network Test Business is part of Elektrobit 's Test and Automation Business Segment and employs 39 people in Finland and 22 people abroad ,neutral
Cramo is a service company specialising in construction machinery and equipment rental and rental-related services ,neutral
The terms and conditions of the Stock Option Scheme 2008 are available on the Company 's internet pages www.sanoma.com ,neutral
It is hand-painted resin with real 14-0 trebles and is 75cm long by 25cm deep from top to bottom of the middle hook ,neutral
Mr. McDonald started the evening with his own set ,neutral
The Board of Directors was authorized to decide on other terms of the share issue ,neutral
Financial details were n't disclosed ,neutral
According to Finnish FIM Bank ,neutral
Terms of the acquisition were not disclosed ,neutral
The per-share subscription price of the shares subscribed with the option rights was EUR 1.35 ,neutral
Products include Consumer Electronics devices such as mobile phones and their accessories ,neutral
The company has the poser ,neutral
Cohen & Steers ,neutral
The investment will be worth approximately EUR 100mn ,neutral
`` The enterprise value of the Fray Bentos pulp mill and Forestal Oriental totals approximately euro1 .6 billion ,neutral
After the restructuring ,neutral
Cameco typically prices sales contracts using a 40:60 ratio of fixed prices and spot prices ,neutral
The payment date is March 25 ,neutral
Currently the Terminator lures are produced in a subcontract facility in Mexico but the manufacturing will be transferred to Rapala 's factory in Shenzhen ,neutral
Salcomp 's charger manufacturing plant in India is located in the Nokia Telecom Park in the state of Tamil Nadu ,neutral
The cosmetics collection includes an eye shadow ,neutral
Terms were not disclosed ,neutral
The contract also includes installation work in a new multistorey carpark for close on 1,neutral
The company serves customers in various industries ,neutral
A huge issue for us is the button placement ,neutral
Barclays Plc ( LSE : BARC ) ( NYSE : BCS ) ,neutral
In addition ,neutral
New Novator products are supposed to be exported ,neutral
The Moscow Metro ( www.mosmetro.ru ) was the first metro system in Europe to implement smart cards together with a new type of magnetic card in 1998 ,neutral
Shareholder 's full name and ID code : - Petri Ailus ,neutral
Investments are not disclosed ,neutral
With this acquisition the wireless modem unit and its approximately 1,neutral
The company will publish its financial statement for 2008 on February 25 ,neutral
The equipment is designated to Bollore Africa Logistics terminal Societe d'Exploitation du Terminal de Vridi SETV in Abidjan ,neutral
More than 80 special events in the three counties during four months were hosted by the library system and its nine branch libraries ,neutral
Renesas Mobile Europe Ltd has approximately 470 employees in Oulu ,neutral
schwalm ( at ) outotec.com Eila Paatela ,neutral
`` If you need malware removal tools ,neutral
The company 's equipment rental portfolio consists primarily of tools for small and mid-sized customers in the construction industry ,neutral
For 2009 ,neutral
The business section also includes Ahlstrom 's sustainability report ,neutral
Stora Enso 's business in North America has annual capacity of about 3 million tons and employs about 4,neutral
Metsaliitto will sell 1.1 million B shares of Neomarkka ,neutral
The server is responsible for managing devices and user accounts and a desktop client application enables remote access to the mobile phones ,neutral
Ahlstrom 's 5,neutral
Boomerang Boats had net sales of EUR 4.1 mn and it made an operating profit of EUR 0.4 mn in 2006 ,neutral
com and possibly also through photo-msn ,neutral
Incap Contract Manufacturing is a subsidiary of Incap Corporation of Finland ,neutral
The mill is concentrating on getting the supercalendered line running satisfactorily before restarting its older newsprint line ,neutral
The value of the contract is about EUR1 .0 m. Poyry ,neutral
Sanoma announced the Stock Option Scheme 2008 on 19 December 2008 ,neutral
The study evaluated the safety ,neutral
The deal covers Stockmann Auto Oy Ab 's sales and after-sales services concerning Volkswagen and Audi in Helsinki ,neutral
The corrected chapter is in its entirety below ,neutral
Basware finances the acquisition with a bank loan ,neutral
The report goes on to provide detailed profiles of ten leading European specialty chemicals companies ,neutral
Production is scheduled to start by the end of April 2007 ,neutral
The plant will collect raw material from the Baltic Sea region ,neutral
The mill will have capacity to produce 500,neutral
Outotec 's delivery covers the engineering ,neutral
In addition ,neutral
The commission said the hydrogen peroxide and PBS market was worth about 470 million euros in 2000 ,neutral
Mr. Kari Stadigh will carry on as Chairman of the Board and Mr. Matti Arteva as Vice-Chairman ,neutral
Cramo Plc is a service company specialising in construction machinery and equipment rental and rental-related services ,neutral
It also includes the installation of new equipment ,neutral
The chilled meat products category led the meat ,neutral
+ï¿½lemiste City is the environment for a knowledge-based economy providing work for 3,neutral
Quartal Oy now owns 2,neutral
Igor and Oleg Yankov ,neutral
The contract has been allotted as per lowest price criteria ,neutral
Simmons Elected DCUC Chairman PORTSMOUTH ,neutral
Autotank Group is part of Aspo 's Systems Division ,neutral
Presentation materials will be posted on the company 's website : www.seahawkdrilling.com in the `` Investor Relations '' section ,neutral
This includes a EUR 39.5 mn change in the fair value of investment properties ,neutral
ISMS does not disclose its financial results ,neutral
RSA 's shares closed at 156.9 p at the time of going to press ,neutral
There will be return flights from Stuttgart every morning ,neutral
The report contains category level company and brand share as well as distribution share information for 2007 and 2008 ,neutral
The orders also include a few high-power drives for the control of seismic compressors ,neutral
The contract incorporates a Convergent Charging rating solution for voice and data ,neutral
When completed ,neutral
Unit prices for straddle carriers vary between EUR700 ,neutral
Amanda Capital has investments in 22 private equity funds and in over 200 unquoted companies mainly in Europe ,neutral
Neste Shipping is the most likely to remain Finnish as the oil sector and its transports are significant for emergency supply ,neutral
The firm 's UK head office is in Rugby Road ,neutral
Elcoteq expects its net sales for the last quarter of 2010 to be on the level of the third quarter ,neutral
The arrangements do not apply to the group 's units outside Finland ,neutral
Timo Penttila has been appointed new manager responsible for the asset management of Nordea 's institutional customers in Finland ,neutral
The company has some 410 employees and an annual turnover of EUR65 .4 m. Vaahto Group is listed on the Nordic Exchange in Helsinki ,neutral
The company operates power plants in the Tyumen and Chelyabinsk regions and in the Khanty-Mansi Autonomous District ,neutral
Vaisala ,neutral
Honkarakenne also decided yesterday to sell 88,neutral
Prothious Engineering ( www.prothious.com ) employs more than 1,neutral
The figure includes the change in the fair value of the property portfolio ,neutral
The combined value of the planned investments is about EUR 30mn ,neutral
The firm 's services include copying ,neutral
Foodservice and consumer goods markets are served by approximately 13,neutral
The transaction is expected to be finalized by Dec 2009 ,neutral
Founded in 1946 ,neutral
The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) ,neutral
The order was valued at over EUR15m ,neutral
Pharmaceutical market in Czech Republic Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Czech Republic ,neutral
GyPSii service supports ten different languages including Korean and Russian ,neutral
Den Bosch-based TomTom is Europe 's largest maker of automotive navigation devices ,neutral
Huhtamaki 's rigid plastic consumer goods operations ,neutral
The business transfer will take effect from 1 January 2007 ,neutral
The dividends payable annually shall be deducted from the share subscription price ,neutral
The operations to be sold include manufacturing units in Finland ,neutral
The new company ,neutral
After 1 April 2007 Cencorp will not have any own employees in the territory ,neutral
The EBRD is using its own funds to provide a 21.6 mln A loan while the B portion of 10 mln Euros has been syndicated to two Finnish commercial banks ,neutral
The change in holdings in accordance with Chapter 2 ,neutral
Valmet Automotive reports net sales of EUR 85mn and operating profit of EUR 8mn ,neutral
25 November 2010 - Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) said today that Finnish state-owned investment company Solidium Oy sold its 14.7 % stake in the company for a total of EUR98m ,neutral
Thus the group 's balance sheet will have about EUR25 .8 m in goodwill for 2010 ,neutral
The broad-based WIG index ended Thursday 's session 0.1 pct up at 65,neutral
Under a preliminary estimation ,neutral
These products include Personal Communications products such as mobile phones and their parts ,neutral
Headquartered in this city ,neutral
The order includes a new Crecent former ,neutral
The site will cover over six hectares ,neutral
- Cash flow from operating activities before investments was EUR 7.6 million EUR 2.5 million ,neutral
The company also appointed Leif Rosen head of the Special Plate unit which includes the quarto plate units in Degerfors ,neutral
With the new arrangement ,neutral
According to Gran ,neutral
`` Over the years ,neutral
Rihko started to manage Raisio 's Benecol business in summer 2006 after heading tobacco company Altadis ' European operations ,neutral
The contract includes design ,neutral
The sale price was not disclosed ,neutral
Aspo 's Group structure and business operations are continually developed without any predefined schedules ,neutral
These include software development for internet and mobile telephone content ,neutral
According to the notification ,neutral
` Sanoma is a buyer not a target ,neutral
The 19,neutral
LCS 's services cover the whole life cycle of software and information systems ,neutral
The redesigned crushing circuit has been in operation since the start of September and its overall production rate on a weekly basis is in excess of an average of 40,neutral
In 2007 Talentum will disclose three Interim Reports - Q1 ( January - March ) on Friday ,neutral
The terms and conditions of Stock Option Scheme 2004 are available on the Group 's website ,neutral
Rockwell Collins is a provider of flight deck ,neutral
In 2007 ,neutral
The RME from Telcontar enables the handset to calculate the best route and includes support for user-defined routes ,neutral
Both operating profit and net sales for the three-month period increased ,positive
The company 's scheduled traffic ,positive
Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 ,positive
( ADP News ) - Nov 5 ,positive
Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million ,positive
Citigroup ,positive
The Australian company Mirabela Nickel has awarded Outokumpu Technology a contract for grinding technology for its nickel sulfide project in Bahia State ,positive
Vaahto Pulp & Paper ,positive
The rationalization of the operations seeks to achieve over EUR 1 million in yearly savings as from the second quarter of the current financial year ,positive
The bank sees a potential for Getinge share to rise ,positive
Revenue grew by 2 percent to  x20ac 580 million $ 743 million ,positive
SCANIA Morgan Stanley lifted the share target on Swedish heavy-duty truck and bus maker Scania AB to 330 crowns ( $ 42.4 - 35.2 euro ) from 310 crowns ( $ 39.8 - 33.1 euro ) ,positive
Thus the method will cut working costs ,positive
Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 ,positive
Danske Bank A-S DANSKE DC jumped 3.7 percent to 133.4 kroner ,positive
In December alone ,positive
( ADP News ) - Finnish handling systems provider Cargotec Oyj ( HEL : CGCBV ) announced on Friday it won orders worth EUR 10 million ( USD 13.2 m ) to deliver linkspans to Jordan ,positive
Its board of directors will propose a dividend of EUR0 .12 per share for 2010 ,positive
( ADP News ) - Sep 30 ,positive
Operating profit improved by 44.0 % to ER 4.7 mn from EUR 3.3 mn in 2004 ,positive
Kalnapilio-Tauro Grupe ( Kalnapilis-Tauras Group ) ,positive
Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006 ,positive
Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg ,positive
